date,avg,min,max
2025-01-02,1941.7312292254628,1922.0264642880823,1942.7271444514465
2025-01-07,1908.5468091029315,1840.805999303768,1910.1966998034363
2025-01-09,1914.6564125266113,1914.6564125266113,1914.6564125266113
2025-01-10,1905.3822053267022,1905.3821502475862,1905.382266358468
2025-01-11,1935.767079389314,1934.8603960302892,1954.5787984313858
2025-01-12,1932.571375530034,1931.9558357556089,1945.052830582875
2025-01-13,1886.9068711352154,1848.4741423831701,1908.7842296481062
2025-01-14,1897.6919929718085,1894.3074126201282,1909.818627644635
2025-01-15,1876.5919273401746,1876.5918674251595,1876.592002006706
2025-01-17,1902.337886256039,1902.3377896567918,1902.3379631065427
2025-01-18,1896.3814707249687,1895.7941012484537,1899.0980424852337
2025-01-20,1928.193359497345,1928.193309467294,1928.193424834603
2025-01-23,1944.2469710063904,1931.147146056945,1953.1472439711495
2025-01-28,1920.4713909060608,1865.4821581814697,1942.0188948975242
2025-02-01,1893.5810553535841,1893.5809801393439,1893.5811181825475
2025-02-09,1912.0478045813152,1901.7119721440433,1925.0226321817627
2025-02-23,1926.9573965357147,1926.957292850252,1926.9574429973459
2025-02-24,1936.8644750960932,1913.4276403323702,1940.0480266748814
2025-02-28,1916.2155778332262,1916.2154697059404,1916.2156702335185
2025-03-07,1906.9221819676627,1906.0961281308169,1907.4829626956264
2025-03-08,1877.8012921730008,1792.001637384886,1919.6429147564222
2025-03-09,1834.2193567087913,1834.2192554443898,1834.21942276117
2025-03-18,1933.0573503077637,1932.4056056168595,1934.0596276452388
2025-03-19,1839.030211442496,1815.1914579339223,1919.2630070141363
2025-03-21,1931.1455137074609,1924.457542585291,1937.2997580197296
2025-03-23,1888.2446390881391,1821.6381654216377,1931.358295758968
2025-03-28,1927.3978197475542,1927.3977436398177,1927.397903838333
2025-04-03,1884.270050990354,1799.073583941189,1914.3644321035852
2025-04-05,1826.294174249975,1826.294118125478,1826.2942790741315
2025-04-06,1911.059733265019,1894.4876436305042,1931.7369674962404
2025-04-08,1933.929048952029,1931.2073264344638,1948.151505738704
2025-04-09,1897.4463614204155,1882.9851325291424,1918.4548891238394
2025-04-19,1894.6572878235568,1890.5051611128556,1914.297241210128
2025-04-21,1911.9464296689698,1911.9463335298242,1911.9464977095977
2025-04-25,1858.2145375925852,1855.120868641768,1894.3405956847826
2025-04-28,1905.9210260079371,1900.5136973485774,1929.3273925773092
2025-04-29,1898.730733928215,1861.0514387614965,1925.5259517332472
2025-04-30,1882.3336433231868,1882.3336433231868,1882.3336433231868
2025-05-07,1831.719230301389,1779.868608388797,1894.5046037890174
2025-05-08,1919.880563833167,1919.6882836375858,1922.7542963786798
2025-05-09,1935.2755370111834,1935.2754032325447,1935.2755818596897
2025-05-10,1908.2897687266882,1893.4375380313086,1933.6595961790001
2025-05-14,1894.4555091818538,1836.7667838358425,1922.254922389253
2025-05-15,1934.6626247159,1934.662592246969,1934.662651304804
2025-05-19,1901.9843863435747,1836.1163667964172,1931.8977764964163
2025-05-20,1935.9321488730973,1935.932069687957,1935.932230419935
2025-05-21,1906.5835943575673,1906.5835458869653,1906.5836352850247
2025-05-22,1855.7827693248867,1851.9995643223988,1887.6861914932572
2025-05-23,1846.789967846969,1846.697407581813,1846.7909663945752
2025-05-25,1916.2498674283866,1916.249795881823,1916.2499342261822
2025-05-27,1892.0971347703203,1880.9403376857351,1908.3120477230248
2025-05-30,1881.7956667991848,1870.5702521390133,1897.600274539752
2025-05-31,1895.0840991881867,1889.4234242089717,1902.313478386398
2025-06-05,1918.6581037954338,1917.871231101276,1918.6920914740454
2025-06-10,1862.526261698336,1789.9378253199818,1907.9037605812764
2025-06-12,1879.8056296132781,1879.8055949121308,1879.8056643144257
2025-06-15,1902.372180437689,1902.3720953495372,1902.3722069123273
2025-06-16,1881.3237188185635,1846.5200840436912,1921.1362623564653
2025-06-17,1940.1842120006193,1940.1841479489408,1940.184293890927
2025-06-18,1841.8273149800468,1820.2040443422886,1859.8981506992611
2025-06-20,1928.9074734887276,1928.9074240327739,1928.9075682216962
2025-06-22,1912.1299988926987,1912.1299306093283,1912.1300502038532
2025-06-23,1873.400975988138,1841.3441739536104,1906.7532928197875
2025-06-27,1891.4278272282215,1874.2350198173353,1924.6054783828422
2025-06-28,1892.4049404919904,1881.7062383478158,1894.2021970331198
2025-06-29,1803.344101566982,1746.6693832952174,1860.9317448517247
2025-06-30,1842.5050025246908,1842.5049452716855,1842.5050728229892
2025-07-01,1880.2453723076248,1880.2452965715331,1880.2454415425188
2025-07-02,1865.8252207988771,1805.1115251142157,1917.7031565899097
2025-07-03,1895.5423342397648,1884.4133894375084,1903.0413086692151
2025-07-06,1919.709585620217,1919.709503264694,1919.7096555110213
2025-07-07,1894.3303229907508,1894.3302559346432,1894.3303907927332
2025-07-08,1900.1727415097582,1900.172680616491,1900.1727904977774
2025-07-09,1855.6516871953916,1855.651672296193,1855.651713488142
2025-07-11,1893.9137645274523,1891.9528205992294,1901.87310535329
2025-07-12,1876.0912046161359,1801.5062255851756,1902.388996836291
2025-07-13,1903.5206431318911,1903.520607907012,1903.5207076079932
2025-07-14,1882.4141866578113,1882.4141345699084,1882.4142546036476
2025-07-16,1876.6280540350876,1874.6125953844564,1890.1586718998085
2025-07-17,1872.4527560764557,1852.2037641814538,1889.065391400229
2025-07-18,1894.6455491470776,1894.53848206408,1900.0984289542325
2025-07-19,1907.3678435763586,1901.3631216207461,1907.8523622917628
2025-07-22,1932.3607182772928,1932.3606519157884,1932.360788463472
2025-07-23,1913.9058065404686,1887.2669126047174,1914.535622239319
