date,avg,min,max
2025-01-02,5.363622466374792E-4,-8.389232098133297E-4,0.0020328567903370688
2025-01-04,2.7458125145428603E-4,-1.5011951301045662E-4,5.881779006690744E-4
2025-01-05,0.002847316182394443,-7.85500639572874E-4,0.004629247821872087
2025-01-06,-9.935697196040807E-4,-9.935697375100204E-4,-9.935696942770594E-4
2025-01-07,1.645251015280291E-4,-6.861242582102533E-4,0.001333434949631406
2025-01-08,3.4069277023306106E-4,-5.941160488884401E-4,0.0013872820418352986
2025-01-09,7.991590464574596E-4,-8.939774706975796E-4,0.0031275060027871754
2025-01-10,-2.3491876031113938E-4,-6.202780641626542E-4,1.9912787512157756E-4
2025-01-11,3.983730055650049E-4,-1.943656207944925E-4,0.001629754784518762
2025-01-12,3.59577561652302E-4,-6.890693330218364E-4,0.0015939733099229044
2025-01-13,7.203969561870689E-4,-7.465555099778543E-4,0.0032251584562677416
2025-01-14,-5.489885102692018E-4,-9.851467487908558E-4,7.86945577591466E-4
2025-01-15,8.29213230444793E-4,-4.982194691839408E-4,0.0019589294910921243
2025-01-16,1.2875860463199007E-4,-6.117992452356787E-4,0.0027284908987117063
2025-01-17,-1.316301905825354E-4,-8.18397034892421E-4,0.001597039052288125
2025-01-18,4.760813285221697E-4,-7.715473184375924E-4,0.0016430603969267124
2025-01-19,5.096020616249527E-5,-7.721739842073756E-4,0.001117760897615277
2025-01-20,0.0012896990308243507,-5.717635560679783E-4,0.0013283560327139907
2025-01-21,0.001234290467643346,-4.4110523437341576E-5,0.0028467583548683144
2025-01-22,-7.025007647436659E-4,-7.452080142753782E-4,7.091157233584442E-4
2025-01-23,6.041687383053267E-4,-9.731243480945736E-4,0.0015132610368307686
2025-01-24,3.7237625042335214E-5,-6.471021915792428E-4,0.00143631481466112
2025-01-27,3.725842781252827E-4,-4.827915028930735E-4,0.0015554689240903211
2025-01-28,-5.705174855601113E-6,-8.014158229352306E-4,4.5977163245020125E-4
2025-01-29,1.8345395824665483E-4,-8.500488474973582E-4,8.755484595904332E-4
2025-01-31,3.057364246363715E-4,-4.653474607047608E-4,0.0018361242918787286
2025-02-01,0.0010366518758340817,-6.567825912505078E-4,0.002078825607898111
2025-02-02,4.6104590543858635E-4,-6.04010089133793E-4,0.0010866564134720544
2025-02-03,1.5880667781356363E-4,-7.704461037291157E-4,0.0010740064317379828
2025-02-04,-1.2826283187030406E-4,-6.170619162737581E-4,2.4468672927513E-4
2025-02-07,-4.2992381556568267E-4,-8.087956286114801E-4,5.250156973498067E-4
2025-02-08,8.724090324335854E-5,-9.007041808213955E-4,0.001266081703695751
2025-02-09,5.359970750866412E-4,-7.219528377616532E-4,0.0013711858773628686
2025-02-10,5.238749807650471E-4,-9.321151883351505E-4,0.001802984392273687
2025-02-11,3.236708625989781E-4,-6.093157916922136E-4,9.945925883641056E-4
2025-02-14,-5.208308370715159E-5,-3.532024589051852E-4,9.443158051008473E-4
2025-02-15,-7.742614017585263E-5,-8.031349862003117E-4,6.291840691130743E-4
2025-02-17,0.0011574730786781083,-9.315789793627324E-4,0.0015480026649606668
2025-02-18,7.218643591394649E-5,-9.8807469476192E-4,7.462862413389986E-4
2025-02-19,1.1068277660141406E-4,-5.709186661994704E-4,7.249343907473602E-4
2025-02-20,2.269470198857444E-4,-4.652305215139855E-4,0.0011929400919286405
2025-02-21,0.0012517371513754824,6.721070788053927E-4,0.0014137320132653819
2025-02-22,2.6778716027878456E-4,-7.970328442760318E-4,0.0015650090431191732
2025-02-23,-8.165132356632418E-6,-6.785818422686877E-4,6.82968477111418E-4
2025-02-24,3.389605622570298E-4,-6.282593822118013E-4,0.0010487692449532952
2025-02-25,2.4908629994286393E-4,-5.544218583961467E-4,9.218787675250109E-4
2025-02-26,3.748404272620393E-4,-3.067590410988721E-4,7.974604574994754E-4
2025-02-27,0.0021373810939632515,5.624462501139025E-4,0.002660900202345837
2025-02-28,1.4638823531715069E-5,-8.68919305504313E-4,6.974489190711771E-4
2025-03-01,3.2941865345790795E-4,1.533386861064125E-4,4.1625138797626003E-4
2025-03-02,1.2886778291738786E-4,-4.8227042932785346E-4,4.5611886889723355E-4
2025-03-03,3.792969103900525E-5,-2.890415198640506E-4,7.859127363198598E-4
2025-03-04,3.595716571179493E-4,-5.717780477442172E-4,0.0010452495771479024
2025-03-07,-1.8880864846633618E-4,-8.952326024891432E-4,3.7303299665845637E-4
2025-03-08,-2.9748033386313503E-4,-8.51652876009833E-4,4.323627217680538E-4
2025-03-09,-2.933248796307245E-4,-8.795387693690384E-4,0.001562612890118995
2025-03-10,7.828826037187449E-5,-5.962497414602782E-4,0.002271651057523693
2025-03-13,2.2858173353812716E-4,-2.24516959861165E-4,5.846779677096089E-4
2025-03-15,-1.2713082244932644E-5,-7.277546154798129E-4,5.705804061192182E-4
2025-03-16,-6.343868609322882E-5,-6.624374073010671E-4,9.787398157651062E-4
2025-03-18,-2.2540826736594675E-5,-6.867144686878272E-4,0.001253481613099063
2025-03-19,-2.7384626546271584E-4,-9.710597805696301E-4,0.00119825126603376
2025-03-20,-2.4033398509945954E-5,-9.492161334502586E-4,9.46486485192391E-4
2025-03-21,3.994664720549681E-4,-7.683062576702638E-4,0.0018364886054802172
2025-03-22,2.479614914965317E-4,-5.645767087126987E-4,8.822690579118486E-4
2025-03-23,5.6776408039397186E-5,-4.134648770567012E-4,6.058978033262952E-4
2025-03-24,1.8171333774321917E-4,-1.1276195436969181E-4,5.09923393767481E-4
2025-03-25,2.642075211118046E-4,-4.233900399411169E-4,4.097338959827288E-4
