date,avg,min,max
2025-01-01,0.036360035331375905,0.035382311791166604,0.038456947077504446
2025-01-02,0.035714547060600024,0.03318207977064062,0.03887514397506172
2025-01-06,0.03408781645607346,0.03399916954805522,0.03749341145164554
2025-01-07,0.06851884265919188,0.031241114367305842,0.09532504839944053
2025-01-08,0.0883222849727387,0.04473623583431609,0.1174329647548158
2025-01-09,0.14911518143010902,0.054623444787500176,0.1734081264614997
2025-01-10,0.05513740363460443,0.03426961017091067,0.06350392858860807
2025-01-11,0.07046063298263538,0.04035482474525062,0.11003838857974345
2025-01-12,0.03751487651714882,0.034920714795546766,0.03907048049589042
2025-01-13,0.031031131759919523,0.02710449248490747,0.035911753826479965
2025-01-14,0.03384346772195496,0.03122964873906411,0.0355801443551482
2025-01-15,0.036907069925458696,0.03352526389058308,0.03912496393829723
2025-01-16,0.03110009646773618,0.029755141586007786,0.03332198038703233
2025-01-17,0.03329625556070871,0.03177657568332814,0.03479776698634968
2025-01-18,0.03615437138978854,0.03235779915133836,0.03886987641452099
2025-01-19,0.033899592554131636,0.030815155341160482,0.036594652813008804
2025-01-20,0.03671457941602347,0.031410381197890996,0.04078538818224001
2025-01-21,0.03261736627820393,0.030952013365801584,0.034312637982543574
2025-01-23,0.03600850901841293,0.03179813123475498,0.04089196552618299
2025-01-24,0.033372108111050056,0.033372107424521,0.03337210909484667
2025-01-26,0.029510460949752328,0.02603949792679942,0.032567068934476015
2025-01-27,0.032153447398352276,0.030785353854239094,0.03277696076563994
2025-01-28,0.03457453928122212,0.032990042120154515,0.03597689160631697
2025-01-29,0.02841901838281717,0.026378714154202638,0.03117975436259662
2025-02-01,0.0318944873190905,0.030521664768420113,0.03514166921383499
2025-02-02,0.036103131079708056,0.03382169827812334,0.0381207818477546
2025-02-03,0.03391331621808228,0.032383459800646476,0.03438800976344516
2025-02-04,0.03321461514530664,0.03170128166671975,0.03479444702236427
2025-02-05,0.03622811808362284,0.03285350650542585,0.03830736130482884
2025-02-06,0.035026590382296795,0.03331186249850772,0.03529668710807636
2025-02-07,0.03317340417446056,0.029959984712232116,0.035679242577460184
2025-02-08,0.035299411233917895,0.03225759044285647,0.038487274199793385
2025-02-09,0.031325555063095624,0.024407792836417367,0.035651419311825944
2025-02-10,0.03483391292959059,0.03362967375609987,0.03995320573456317
2025-02-11,0.037930200148166164,0.035326786339239816,0.04110467992727092
2025-02-14,0.03021037693259392,0.02701424062246824,0.03549178050397165
2025-02-15,0.03441155319839648,0.034411551573691544,0.03441155450284143
2025-02-18,0.03511044351499528,0.032930795103247895,0.03700171411044097
2025-02-19,0.03846032965804064,0.03831662077005196,0.04064748808748877
2025-02-20,0.03770069492427245,0.033935524523319216,0.04007405207344291
2025-02-23,0.039046362527735974,0.0337496623396461,0.04261050118977622
2025-02-24,0.03826983409441811,0.032276699595766664,0.0413954305105456
2025-02-25,0.032657816470022846,0.02760819833338927,0.03696263701200974
2025-02-26,0.03632297203439823,0.03406009078019235,0.03926969692118075
2025-02-28,0.03565162235393046,0.033955517890955994,0.03778730451984093
2025-03-01,0.03277664931082715,0.03063217384642239,0.03578991442917264
2025-03-02,0.031940791380935446,0.02984599024053741,0.033693648874820244
2025-03-03,0.034529961303036344,0.030539810817148204,0.037103743618028866
2025-03-04,0.03310787855711397,0.02910631336268464,0.035301830619608836
2025-03-06,0.025416596703548053,0.024611473126905058,0.025424170769374577
2025-03-07,0.03666993093137039,0.030728172510824797,0.03809573128826314
2025-03-08,0.04254890026970394,0.0396065687611178,0.05271592736253678
2025-03-09,0.04232155398506338,0.04149963334194746,0.04490396007900351
2025-03-11,0.032832438308840785,0.031203140830634284,0.03423155142592561
2025-03-12,0.03626842029031663,0.03049540892239929,0.03971623256806524
2025-03-13,0.02846107972075323,0.025811383500645345,0.0301388446242159
